"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/igor/Desktop/fleetInspect/app/(auth)/auth/callback/route.ts", "TypeScript", -16, 0, 0, 0, -7, -23
"/Users/igor/Desktop/fleetInspect/app/(auth)/login/page.tsx", "TypeScript JSX", 0, -8, 0, 0, -3, -11
"/Users/igor/Desktop/fleetInspect/app/(auth)/signup/page.tsx", "TypeScript JSX", 0, -323, 0, -7, -64, -394
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/(inspections)/inspection/[vehicleId]/loading.tsx", "TypeScript JSX", 0, -4, 0, 0, -2, -6
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/(inspections)/inspection/[vehicleId]/page.tsx", "TypeScript JSX", 0, -1364, 0, -60, -108, -1532
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/(inspections)/inspection/error.tsx", "TypeScript JSX", 0, -14, 0, 0, -3, -17
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/(inspections)/inspection/layout.tsx", "TypeScript JSX", 0, -7, 0, 0, -1, -8
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/(inspections)/inspection/loading.tsx", "TypeScript JSX", 0, -4, 0, 0, -2, -6
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/(inspections)/inspection/page.tsx", "TypeScript JSX", 0, -30, 0, -3, -7, -40
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/(inspections)/inspections/page.tsx", "TypeScript JSX", 0, -49, 0, 0, -7, -56
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/(inspections)/user-inspections/page.tsx", "TypeScript JSX", 0, -79, 0, -5, -9, -93
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/profile/page.tsx", "TypeScript JSX", 0, -200, 0, -363, -89, -652
"/Users/igor/Desktop/fleetInspect/app/(dashboard)/reports/page.tsx", "TypeScript JSX", 0, -42, 0, -626, -48, -716
